Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
770,679,Spider-Verse Team Up,1,$3.99,Marvel,"35,354"
773,680,Inhuman,4,$3.99,Marvel,"35,267"
774,685,Magneto,4,$3.99,Marvel,"35,197"
776,687,Fantastic Four,3,$3.99,Marvel,"35,158"
777,688,Hulk,7,$3.99,Marvel,"35,128"
778,691,Captain America and Mighty Avengers,2,$3.99,Marvel,"35,115"
779,683,Original Sins,3,$3.99,Marvel,"35,036"
783,695,Avengers World,4,$3.99,Marvel,"34,947"
786,881,Secret Avengers,1,$3.99,Marvel,"34,908"
787,698,Legendary Star Lord,3,$3.99,Marvel,"34,869"
788,701,Miles Morales Ultimate Spider-Man,4,$3.99,Marvel,"34,869"
790,697,Amazing X-Men,11,$3.99,Marvel,"34,831"
791,690,Death of Wolverine Logan Legacy,7,$3.99,Marvel,"34,807"
792,703,Guardians 3000,2,$3.99,Marvel,"34,783"
794,704,All New X-Factor,2,$3.99,Marvel,"34,771"
799,702,Captain America,22,$3.99,Marvel,"34,667"
804,330,Kick-Ass 3,8,$5.99,Marvel,"34,538"
806,669,Captain America,19,$3.99,Marvel,"34,513"
807,713,Hawkeye,20,$3.99,Marvel,"34,456"
810,712,Hulk,8,$3.99,Marvel,"34,445"
811,715,Spider-Verse Team Up,2,$3.99,Marvel,"34,408"
814,717,Miles Morales Ultimate Spider-Man,5,$3.99,Marvel,"34,356"
818,722,Iron Fist Living Weapon,2,$3.99,Marvel,"34,163"
821,724,Daredevil,9,$3.99,Marvel,"34,091"
822,1079,Ms Marvel,7,$2.99,Marvel,"34,019"
825,716,Deadpool Draculas Gauntlet,5,$3.99,Marvel,"34,006"
826,727,X-Men,19,$3.99,Marvel,"33,979"
827,726,Wolverine and X-Men,4,$3.99,Marvel,"33,969"
828,725,Captain America,18,$3.99,Marvel,"33,946"
829,422,All New Marvel Now Point One,1,$5.99,Marvel,"33,909"
830,728,Captain America,17,$3.99,Marvel,"33,845"
831,744,Inhumanity,2,$3.99,Marvel,"33,746"
